pin_id,x_mm,y_mm
1,7,7
2,9,7
3,5,7
4,11,9
5,11,7
6,13,7
7,13,9
8,13,11
9,15,7
10,15,9
11,15,11
12,17,7
13,17,9
14,17,11
15,19,7
16,19,9
17,19,11
18,21,7
19,21,9
20,21,11
21,23,7
22,23,9
23,23,11
24,24,13
25,25,9
26,25,7
27,26,11
28,27,9
29,27,7
30,28,11
31,29,9
32,29,7
33,30,11
34,31,9
35,31,7
36,32,11
37,33,9
38,33,7
39,34,11
40,35,9
41,35,7
42,36,11
43,37,7
44,37,9
45,38,11
46,39,7
47,39,9
48,40,11
49,41,7
50,41,9
51,42,11
52,43,7
53,43,9
54,44,11
55,45,7
56,45,9
57,46,11
58,47,7
59,47,9
60,47,13
61,48,11
62,49,9
63,49,7
64,50,11
65,51,9
66,51,7
67,52,11
68,53,9
69,53,7
70,54,11
71,55,9
72,55,7
73,56,11
74,57,9
75,57,7
76,58,11
77,59,9
78,59,7
79,60,11
80,61,7
81,61,9
82,62,11
83,63,7
84,63,9
85,64,11
86,65,7
87,65,9
88,66,11
89,67,7
90,67,9
91,68,11
92,69,7
93,69,9
94,70,11
95,71,7
96,71,9
97,77,7
98,74,9
99,75,7
100,73,7
