pin_id,x_mm,y_mm
1,15,7
2,17,7
3,18,9
4,13,7
5,19,7
6,20,9
7,20,11
8,21,7
9,22,9
10,22,11
11,23,7
12,24,9
13,24,11
14,25,7
15,26,9
16,26,11
17,27,7
18,28,9
19,28,11
20,29,7
21,30,9
22,30,11
23,31,7
24,32,9
25,32,11
26,33,7
27,33,13
28,34,11
29,35,9
30,35,7
31,36,11
32,37,9
33,37,7
34,38,11
35,39,9
36,39,7
37,40,11
38,41,9
39,41,7
40,42,11
41,42,13
42,43,9
43,44,11
44,44,7
45,45,9
46,46,11
47,46,7
48,47,9
49,48,7
50,48,11
51,49,9
52,50,7
53,50,11
54,51,9
55,52,7
56,52,11
57,53,9
58,54,7
59,54,11
60,55,9
61,56,7
62,56,11
63,57,9
64,58,7
65,58,11
66,59,9
67,60,7
68,60,11
69,61,9
70,62,7
71,62,11
72,63,9
73,64,7
74,64,11
75,65,9
76,66,7
77,66,11
78,67,9
79,67,13
80,68,7
81,69,9
82,69,11
83,70,7
84,71,9
85,71,11
86,72,7
87,73,9
88,73,11
89,74,7
90,75,9
91,75,11
92,76,7
93,77,9
94,77,11
95,78,7
96,79,9
97,79,11
98,79,13
99,80,7
100,81,11
101,81,9
102,82,7
103,83,11
104,83,9
105,84,7
106,85,11
107,85,9
108,86,7
109,87,11
110,87,9
111,88,7
112,89,11
113,89,9
114,90,7
115,94,9
116,91,9
117,92,7
118,98,7
119,96,7
120,94,7
