pin_id,success,length_mm,path
1,1,8.00,16.0:0.0 16.0:1.0 16.0:2.0 16.0:3.0 15.0:3.0 15.0:4.0 15.0:5.0 15.0:6.0 15.0:7.0
2,1,9.00,17.0:0.0 17.0:1.0 17.0:2.0 17.0:3.0 17.0:4.0 16.0:4.0 16.0:5.0 16.0:6.0 16.0:7.0 17.0:7.0
3,1,9.00,18.0:0.0 18.0:1.0 18.0:2.0 18.0:3.0 18.0:4.0 18.0:5.0 18.0:6.0 18.0:7.0 18.0:8.0 18.0:9.0
4,1,12.00,18.0:0.0 17.0:0.0 17.0:1.0 16.0:1.0 15.0:1.0 15.0:2.0 14.0:2.0 13.0:2.0 13.0:3.0 13.0:4.0 13.0:5.0 13.0:6.0 13.0:7.0
5,1,11.00,19.0:0.0 19.0:1.0 19.0:2.0 18.0:2.0 17.0:2.0 17.0:3.0 17.0:4.0 17.0:5.0 17.0:6.0 17.0:7.0 18.0:7.0 19.0:7.0
6,1,11.00,20.0:0.0 19.0:0.0 19.0:1.0 19.0:2.0 19.0:3.0 19.0:4.0 19.0:5.0 19.0:6.0 19.0:7.0 19.0:8.0 19.0:9.0 20.0:9.0
7,1,11.00,20.0:0.0 20.0:1.0 20.0:2.0 20.0:3.0 20.0:4.0 20.0:5.0 20.0:6.0 20.0:7.0 20.0:8.0 20.0:9.0 20.0:10.0 20.0:11.0
8,1,7.00,21.0:0.0 21.0:1.0 21.0:2.0 21.0:3.0 21.0:4.0 21.0:5.0 21.0:6.0 21.0:7.0
9,1,11.00,22.0:0.0 21.0:0.0 21.0:1.0 21.0:2.0 21.0:3.0 21.0:4.0 21.0:5.0 21.0:6.0 21.0:7.0 21.0:8.0 21.0:9.0 22.0:9.0
10,1,11.00,22.0:0.0 22.0:1.0 22.0:2.0 22.0:3.0 22.0:4.0 22.0:5.0 22.0:6.0 22.0:7.0 22.0:8.0 22.0:9.0 22.0:10.0 22.0:11.0
11,1,7.00,23.0:0.0 23.0:1.0 23.0:2.0 23.0:3.0 23.0:4.0 23.0:5.0 23.0:6.0 23.0:7.0
12,1,10.00,23.0:0.0 23.0:1.0 23.0:2.0 23.0:3.0 23.0:4.0 23.0:5.0 23.0:6.0 23.0:7.0 23.0:8.0 23.0:9.0 24.0:9.0
13,1,11.00,24.0:0.0 24.0:1.0 24.0:2.0 24.0:3.0 24.0:4.0 24.0:5.0 24.0:6.0 24.0:7.0 24.0:8.0 24.0:9.0 24.0:10.0 24.0:11.0
14,1,7.00,25.0:0.0 25.0:1.0 25.0:2.0 25.0:3.0 25.0:4.0 25.0:5.0 25.0:6.0 25.0:7.0
15,1,10.00,25.0:0.0 25.0:1.0 25.0:2.0 25.0:3.0 25.0:4.0 25.0:5.0 25.0:6.0 25.0:7.0 25.0:8.0 25.0:9.0 26.0:9.0
16,1,11.00,26.0:0.0 26.0:1.0 26.0:2.0 26.0:3.0 26.0:4.0 26.0:5.0 26.0:6.0 26.0:7.0 26.0:8.0 26.0:9.0 26.0:10.0 26.0:11.0
17,1,7.00,27.0:0.0 27.0:1.0 27.0:2.0 27.0:3.0 27.0:4.0 27.0:5.0 27.0:6.0 27.0:7.0
18,1,10.00,27.0:0.0 27.0:1.0 27.0:2.0 27.0:3.0 27.0:4.0 27.0:5.0 27.0:6.0 27.0:7.0 27.0:8.0 27.0:9.0 28.0:9.0
19,1,11.00,28.0:0.0 28.0:1.0 28.0:2.0 28.0:3.0 28.0:4.0 28.0:5.0 28.0:6.0 28.0:7.0 28.0:8.0 28.0:9.0 28.0:10.0 28.0:11.0
20,1,7.00,29.0:0.0 29.0:1.0 29.0:2.0 29.0:3.0 29.0:4.0 29.0:5.0 29.0:6.0 29.0:7.0
21,1,10.00,29.0:0.0 29.0:1.0 29.0:2.0 29.0:3.0 29.0:4.0 29.0:5.0 29.0:6.0 29.0:7.0 29.0:8.0 29.0:9.0 30.0:9.0
