pin_id,x_mm,y_mm
1,16,7
2,18,9
3,18,7
4,14,7
5,20,9
6,20,7
7,22,9
8,22,7
9,23,11
10,24,9
11,24,7
12,26,9
13,26,7
14,27,11
15,28,9
16,28,7
17,30,9
18,30,7
19,31,11
20,32,9
21,32,7
22,34,7
23,34,9
24,36,7
25,36,9
26,38,7
27,38,9
28,38,11
29,40,7
30,40,9
31,42,7
32,42,9
33,42,11
34,44,7
35,44,9
36,46,7
37,46,9
38,46,11
39,48,7
40,48,9
41,48,11
42,50,9
43,50,7
44,51,11
45,52,9
46,52,7
47,54,9
48,54,7
49,55,11
50,56,9
51,56,7
52,58,9
53,58,7
54,59,11
55,60,9
56,60,7
57,62,9
58,62,7
59,63,11
60,64,9
61,64,7
62,66,7
63,66,9
64,68,7
65,68,9
66,70,7
67,70,9
68,70,11
69,72,7
70,72,9
71,74,7
72,74,9
73,74,11
74,76,7
75,76,9
76,78,7
77,78,9
78,84,7
79,80,7
80,82,7
