pin_id,success,length_mm,path
1,1,7.00,20.0:0.0 20.0:1.0 20.0:2.0 20.0:3.0 20.0:4.0 20.0:5.0 20.0:6.0 20.0:7.0
2,1,7.00,22.0:0.0 22.0:1.0 22.0:2.0 22.0:3.0 22.0:4.0 22.0:5.0 22.0:6.0 22.0:7.0
3,1,10.00,23.0:0.0 23.0:1.0 24.0:1.0 25.0:1.0 25.0:2.0 26.0:2.0 26.0:3.0 26.0:4.0 26.0:5.0 26.0:6.0 26.0:7.0
4,1,7.00,24.0:0.0 24.0:1.0 24.0:2.0 24.0:3.0 24.0:4.0 24.0:5.0 24.0:6.0 24.0:7.0
5,1,9.00,25.0:0.0 25.0:1.0 25.0:2.0 25.0:3.0 25.0:4.0 25.0:5.0 25.0:6.0 25.0:7.0 25.0:8.0 25.0:9.0
6,1,9.00,27.0:0.0 27.0:1.0 27.0:2.0 27.0:3.0 27.0:4.0 27.0:5.0 27.0:6.0 27.0:7.0 27.0:8.0 27.0:9.0
7,1,7.00,28.0:0.0 28.0:1.0 28.0:2.0 28.0:3.0 28.0:4.0 28.0:5.0 28.0:6.0 28.0:7.0
8,1,9.00,29.0:0.0 29.0:1.0 29.0:2.0 29.0:3.0 29.0:4.0 29.0:5.0 29.0:6.0 29.0:7.0 29.0:8.0 29.0:9.0
9,1,7.00,30.0:0.0 30.0:1.0 30.0:2.0 30.0:3.0 30.0:4.0 30.0:5.0 30.0:6.0 30.0:7.0
10,1,10.00,32.0:0.0 32.0:1.0 33.0:1.0 34.0:1.0 34.0:2.0 35.0:2.0 35.0:3.0 35.0:4.0 35.0:5.0 35.0:6.0 35.0:7.0
11,1,7.00,33.0:0.0 33.0:1.0 33.0:2.0 33.0:3.0 33.0:4.0 33.0:5.0 33.0:6.0 33.0:7.0
12,1,9.00,34.0:0.0 34.0:1.0 34.0:2.0 34.0:3.0 34.0:4.0 34.0:5.0 34.0:6.0 34.0:7.0 34.0:8.0 34.0:9.0
13,1,10.00,35.0:0.0 35.0:1.0 36.0:1.0 36.0:2.0 36.0:3.0 36.0:4.0 36.0:5.0 36.0:6.0 36.0:7.0 36.0:8.0 36.0:9.0
14,1,7.00,37.0:0.0 37.0:1.0 37.0:2.0 37.0:3.0 37.0:4.0 37.0:5.0 37.0:6.0 37.0:7.0
15,1,9.00,38.0:0.0 38.0:1.0 38.0:2.0 38.0:3.0 38.0:4.0 38.0:5.0 38.0:6.0 38.0:7.0 38.0:8.0 38.0:9.0
16,1,7.00,39.0:0.0 39.0:1.0 39.0:2.0 39.0:3.0 39.0:4.0 39.0:5.0 39.0:6.0 39.0:7.0
17,1,9.00,41.0:0.0 41.0:1.0 41.0:2.0 41.0:3.0 41.0:4.0 41.0:5.0 41.0:6.0 41.0:7.0 41.0:8.0 41.0:9.0
18,1,7.00,42.0:0.0 42.0:1.0 42.0:2.0 42.0:3.0 42.0:4.0 42.0:5.0 42.0:6.0 42.0:7.0
19,1,9.00,43.0:0.0 43.0:1.0 43.0:2.0 43.0:3.0 43.0:4.0 43.0:5.0 43.0:6.0 43.0:7.0 43.0:8.0 43.0:9.0
20,1,7.00,44.0:0.0 44.0:1.0 44.0:2.0 44.0:3.0 44.0:4.0 44.0:5.0 44.0:6.0 44.0:7.0
21,1,7.00,46.0:0.0 46.0:1.0 46.0:2.0 46.0:3.0 46.0:4.0 46.0:5.0 46.0:6.0 46.0:7.0
22,1,9.00,47.0:0.0 47.0:1.0 47.0:2.0 47.0:3.0 47.0:4.0 47.0:5.0 47.0:6.0 47.0:7.0 47.0:8.0 47.0:9.0
23,1,7.00,48.0:0.0 48.0:1.0 48.0:2.0 48.0:3.0 48.0:4.0 48.0:5.0 48.0:6.0 48.0:7.0
24,1,8.00,49.0:0.0 49.0:1.0 50.0:1.0 50.0:2.0 50.0:3.0 50.0:4.0 50.0:5.0 50.0:6.0 50.0:7.0
25,1,9.00,51.0:0.0 51.0:1.0 51.0:2.0 51.0:3.0 51.0:4.0 51.0:5.0 51.0:6.0 51.0:7.0 51.0:8.0 51.0:9.0
26,1,7.00,52.0:0.0 52.0:1.0 52.0:2.0 52.0:3.0 52.0:4.0 52.0:5.0 52.0:6.0 52.0:7.0
27,1,8.00,53.0:0.0 53.0:1.0 54.0:1.0 54.0:2.0 54.0:3.0 54.0:4.0 54.0:5.0 54.0:6.0 54.0:7.0
28,1,9.00,55.0:0.0 55.0:1.0 55.0:2.0 55.0:3.0 55.0:4.0 55.0:5.0 55.0:6.0 55.0:7.0 55.0:8.0 55.0:9.0
29,1,7.00,56.0:0.0 56.0:1.0 56.0:2.0 56.0:3.0 56.0:4.0 56.0:5.0 56.0:6.0 56.0:7.0
30,1,9.00,57.0:0.0 57.0:1.0 57.0:2.0 57.0:3.0 57.0:4.0 57.0:5.0 57.0:6.0 57.0:7.0 57.0:8.0 57.0:9.0
31,1,7.00,58.0:0.0 58.0:1.0 58.0:2.0 58.0:3.0 58.0:4.0 58.0:5.0 58.0:6.0 58.0:7.0
32,1,7.00,60.0:0.0 60.0:1.0 60.0:2.0 60.0:3.0 60.0:4.0 60.0:5.0 60.0:6.0 60.0:7.0
33,1,9.00,61.0:0.0 61.0:1.0 61.0:2.0 61.0:3.0 61.0:4.0 61.0:5.0 61.0:6.0 61.0:7.0 61.0:8.0 61.0:9.0
34,1,7.00,62.0:0.0 62.0:1.0 62.0:2.0 62.0:3.0 62.0:4.0 62.0:5.0 62.0:6.0 62.0:7.0
35,1,8.00,63.0:0.0 63.0:1.0 64.0:1.0 64.0:2.0 64.0:3.0 64.0:4.0 64.0:5.0 64.0:6.0 64.0:7.0
36,1,9.00,65.0:0.0 65.0:1.0 65.0:2.0 65.0:3.0 65.0:4.0 65.0:5.0 65.0:6.0 65.0:7.0 65.0:8.0 65.0:9.0
37,1,7.00,66.0:0.0 66.0:1.0 66.0:2.0 66.0:3.0 66.0:4.0 66.0:5.0 66.0:6.0 66.0:7.0
38,1,8.00,67.0:0.0 67.0:1.0 68.0:1.0 68.0:2.0 68.0:3.0 68.0:4.0 68.0:5.0 68.0:6.0 68.0:7.0
